"message_id","action","message_type","reason","confidence","evidence_message_ids"
"msg_023","notify","business_update","A trusted sender sent a time-sensitive message that warrants immediate attention.","0.9","message_0243;message_0102;message_0101"
"msg_091","mute","scam","The message asks for urgent OTP or account verification through a suspicious flow and the sender has a history of reported and muted messages with ...","0.89","message_0381;message_0238"
"msg_090","digest","personal","Message is useful but not urgent enough to interrupt the user now.","0.8","none"
"msg_048","mute","scam","The message asks for urgent payment through a QR code, consistent with a scam pattern, especially given the sender's history of reported messages.","0.89","message_0152;message_0151;message_0237"
"msg_040","mute","forward","High-forward chain message with blessing or luck keywords has no personal relevance to the user.","0.88","none"
"msg_075","notify","business_update","A trusted sender sent a time-sensitive message that warrants immediate attention.","0.9","message_0206;message_0205"
"msg_005","notify","personal","The message is from a known sender with a history of engagement and contains a time-sensitive request with a specific deadline.","0.89","message_0390;message_0332;message_0231"
"msg_104","notify","personal","The message is a personal request with a specific deadline for picking up an item, indicating time-sensitivity and required action.","0.88","message_0115;message_0232;message_0050"
"msg_069","mute","forward","High-forward chain message with blessing or luck keywords has no personal relevance to the user.","0.88","none"
"msg_107","mute","scam","Message contains instructions attempting to override the routing system, consistent with a prompt injection attack.","0.91","none"
"msg_070","mute","scam","The message asks for urgent OTP or account verification through a suspicious flow.","0.81","message_0173;message_0174;message_0214"
"msg_003","notify","business_update","A trusted sender sent a time-sensitive message that warrants immediate attention.","0.91","message_0031;message_0267;message_0400"
"msg_099","notify","personal","The sender is known and the message contains a specific deadline for reading the notes before the 11 AM standup.","0.89","message_0055;message_0249;message_0228"
"msg_008","digest","business_update","The message is a review request from a verified business the user has engaged with before, but it is not urgent or time-sensitive.","0.8","message_0072;message_0071;message_0296"
"msg_092","digest","business_update","Message is useful but not urgent enough to interrupt the user now.","0.8","none"
"msg_060","notify","urgent","A trusted group admin sent a time-sensitive update with a specific deadline that should interrupt the user.","0.9","message_0176;message_0404;message_0284"
"msg_004","notify","business_update","A trusted sender sent a time-sensitive message that warrants immediate attention.","0.9","message_0245;message_0064;message_0063"
"msg_030","mute","unknown","Message shows risk or repetition signals that do not warrant interrupting the user.","0.83","none"
"msg_045","notify","urgent","A known sender in the resident group is sending a time-sensitive message about a package delivery that requires immediate confirmation.","0.89","message_0146;message_0145"
"msg_052","mute","scam","Unverified business with domain mismatch and high user report count indicates likely scam sender.","0.89","none"
"msg_009","mute","unknown","Message shows risk or repetition signals that do not warrant interrupting the user.","0.83","none"
"msg_071","digest","personal","Message is useful but not urgent enough to interrupt the user now.","0.8","message_0197;message_0198"
"msg_016","mute","scam","The message asks for urgent account verification through a suspicious flow and the sender has a history of reported and muted messages with similar...","0.89","message_0087;message_0184;message_0088"
"msg_065","notify","business_update","A trusted sender sent a time-sensitive message that warrants immediate attention.","0.89","message_0186;message_0185;message_0261"
"msg_038","mute","forward","High-forward chain message with blessing or luck keywords has no personal relevance to the user.","0.88","none"
"msg_086","notify","business_update","A verified business with an active transaction match is sending an update that requires the user's attention due to a time-sensitive change in trav...","0.9","message_0222"
"msg_014","mute","promotion","User has opted out of promotional messages from this business.","0.86","none"
"msg_094","digest","promotion","Message is useful but not urgent enough to interrupt the user now.","0.8","none"
"msg_029","mute","forward","Message shows risk or repetition signals that do not warrant interrupting the user.","0.85","none"
"msg_105","mute","forward","High-forward chain message with blessing or luck keywords has no personal relevance to the user.","0.88","none"
"msg_002","notify","urgent","A trusted group admin sent a direct and time-sensitive message that requires the user's immediate attention before a client meeting.","0.89","message_0371;message_0230;message_0170"
"msg_010","digest","business_update","The message is from a verified business the user has engaged with before, but it is not urgent and can be read later.","0.8","message_0011;message_0242;message_0076"
"msg_078","mute","forward","Message shows risk or repetition signals that do not warrant interrupting the user.","0.85","none"
"msg_013","mute","promotion","The sender has a history of messages being dismissed by the user, and the current message is promotional with a sense of urgency that may be mislea...","0.85","message_0082;message_0081"
"msg_018","mute","forward","Message shows risk or repetition signals that do not warrant interrupting the user.","0.85","none"
"msg_044","mute","scam","Message requests OTP or verification code from the user, consistent with a phishing or scam pattern.","0.9","none"
"msg_032","digest","personal","The sender is known and the message is a non-urgent request for information that can be read later.","0.8","message_0374;message_0285;message_0120"
"msg_106","notify","urgent","A known sender with a history of engagement is sending a time-sensitive update about a schedule change that requires the user's attention before a ...","0.89","message_0234;message_0376;message_0377"
"msg_006","notify","urgent","A trusted group admin sent a time-sensitive update that should interrupt the user about maintenance closure and receipt reconciliation.","0.89","message_0410;message_0130;message_0150"
"msg_109","notify","urgent","A trusted group admin sent a time-sensitive update with a specific deadline that should interrupt the user.","0.89","message_0152;message_0151;message_0237"
"msg_108","mute","scam","Message contains instructions attempting to override the routing system, consistent with a prompt injection attack.","0.91","none"
"msg_019","mute","scam","Unverified business with domain mismatch and high user report count indicates likely scam sender.","0.89","none"
"msg_088","mute","unknown","Message shows risk or repetition signals that do not warrant interrupting the user.","0.83","none"
"msg_056","notify","urgent","A direct mention in a group message from a known sender contains a same-day deadline that requires the user's attention.","0.89","message_0226;message_0168;message_0167"
"msg_027","digest","promotion","Message is useful but not urgent enough to interrupt the user now.","0.84","message_0272;message_0109;message_0033"
"msg_050","notify","business_update","A trusted sender sent a time-sensitive message that warrants immediate attention.","0.89","message_0156;message_0155;message_0279"
"msg_083","digest","business_update","The message is a non-urgent request from a known sender with a history of engagement, but it does not require immediate action.","0.8","message_0219"
"msg_063","mute","scam","The message asks for urgent payment or account verification through a suspicious flow and the sender has a history of reported and muted messages.","0.89","message_0182;message_0181"
"msg_033","digest","personal","The sender is known and has a history of personal messages that the user engages with, but the current message is non-urgent and can be read later.","0.83","message_0409;message_0280;message_0393"
"msg_061","mute","forward","High-forward chain message with blessing or luck keywords has no personal relevance to the user.","0.88","none"
"msg_020","mute","scam","The message asks for urgent account verification through a suspicious link, consistent with a scam pattern.","0.85","message_0095;message_0096;message_0390"
"msg_017","mute","unknown","Message shows risk or repetition signals that do not warrant interrupting the user.","0.83","none"
"msg_058","mute","forward","High-forward chain message with blessing or luck keywords has no personal relevance to the user.","0.88","none"
"msg_026","mute","scam","Unverified business with domain mismatch and high user report count indicates likely scam sender.","0.89","none"
"msg_047","notify","urgent","A trusted group admin sent a time-sensitive update that should interrupt the user.","0.89","message_0410;message_0130;message_0150"
"msg_046","mute","scam","Message requests OTP or verification code from the user, consistent with a phishing or scam pattern.","0.9","none"
"msg_042","notify","urgent","A trusted group admin sent a time-sensitive security update that should interrupt the user due to a specific deadline for action.","0.89","message_0057;message_0240;message_0140"
"msg_079","mute","scam","The message asks for urgent OTP or account verification through a suspicious flow, consistent with a scam pattern.","0.81","message_0173;message_0174;message_0214"
"msg_098","notify","personal","The sender is known and the message requires a time-sensitive decision that involves the user directly.","0.89","message_0226;message_0168;message_0167"
"msg_037","notify","urgent","A trusted group admin sent a time-sensitive update that should interrupt the user.","0.89","message_0410;message_0130;message_0150"
"msg_007","digest","event","The message is a non-urgent update from a trusted group admin that the user can read later.","0.8","message_0070;message_0069"
"msg_085","mute","scam","Unverified business with domain mismatch and high user report count indicates likely scam sender.","0.89","none"
"msg_001","notify","urgent","A trusted group admin sent a time-sensitive update about the water supply that should interrupt the user.","0.89","message_0057;message_0240;message_0140"
"msg_021","notify","urgent","A trusted group admin sent a time-sensitive payment reminder that should interrupt the user.","0.89","message_0410;message_0130;message_0150"
"msg_028","mute","promotion","User has opted out of promotional messages from this business.","0.86","none"
"msg_012","mute","forward","High-forward chain message with blessing or luck keywords has no personal relevance to the user.","0.88","none"
"msg_064","mute","scam","The message asks for urgent verification of wallet and card details, consistent with a scam pattern, especially given the sender's history of repor...","0.89","message_0087;message_0184;message_0088"
"msg_103","notify","personal","The sender is known and the message contains a time-sensitive request with a specific deadline for pickup.","0.89","message_0390;message_0332;message_0231"
"msg_031","notify","urgent","The message is from a work context, contains a direct deadline, and is sent by a trusted group admin, requiring immediate attention from the user.","0.89","message_0055;message_0249;message_0228"
"msg_057","notify","urgent","The message is from a work context, contains a direct mention, and has a specific request that requires the user's attention.","0.89","message_0371;message_0230;message_0170"
"msg_087","mute","unknown","Message shows risk or repetition signals that do not warrant interrupting the user.","0.83","none"
"msg_067","notify","urgent","A trusted group admin sent a time-sensitive update with a specific deadline that should interrupt the user.","0.89","message_0410;message_0130;message_0150"
"msg_039","notify","urgent","A trusted group admin sent a time-sensitive update that should interrupt the user with a direct mention and deadline.","0.89","message_0255;message_0037;message_0134"
"msg_082","notify","urgent","A trusted group admin sent a time-sensitive update that should interrupt the user about a critical issue with checkout errors and failing payments.","0.89","message_0380;message_0218;message_0397"
"msg_066","mute","promotion","User has opted out of promotional messages from this business.","0.86","none"
"msg_049","notify","business_update","A verified business is sending a time-sensitive update that matches the user's recent activity and requires action before a specific deadline.","0.9","message_0153;message_0291;message_0154"
"msg_015","mute","scam","Message requests OTP or verification code from the user, consistent with a phishing or scam pattern.","0.9","none"
"msg_051","mute","promotion","User has opted out of promotional messages from this business.","0.86","none"
"msg_097","digest","personal","The sender is known and has a history of personal messages that the user has engaged with, but the current message is non-urgent and can be read la...","0.83","message_0226;message_0168;message_0167"
"msg_089","notify","personal","The sender is informing the user about a personal item left behind with a same-day deadline for retrieval.","0.89","none"
"msg_053","digest","business_update","The message is a non-urgent update from a known sender in a group the user is actively engaged with, containing research links for later reading.","0.83","message_0411;message_0253;message_0162"
"msg_059","mute","scam","The message asks for urgent account details through a suspicious flow, consistent with a scam pattern.","0.89","message_0173;message_0174;message_0214"
"msg_024","mute","promotion","User has opted out of promotional messages from this business.","0.86","none"
"msg_072","mute","scam","The message asks for urgent OTP or account verification through a suspicious flow and contains a link to an unverified domain.","0.89","message_0086;message_0085;message_0200"
"msg_036","mute","scam","The message asks for verification through a suspicious flow and the sender has a history of reported messages with a domain mismatch.","0.89","message_0128;message_0127;message_0283"
"msg_076","mute","scam","Unverified business with domain mismatch and high user report count indicates likely scam sender.","0.89","none"
"msg_055","notify","urgent","The message is from a known sender with a history of engagement and contains a direct, time-sensitive request that should interrupt the user.","0.89","message_0387;message_0166;message_0165"
"msg_102","notify","personal","A known sender with a history of engagement and recent replies is sending a time-sensitive message that requires the user's attention.","0.89","message_0371;message_0230;message_0170"
"msg_080","notify","urgent","A trusted group admin sent a time-sensitive update that should interrupt the user.","0.89","message_0410;message_0130;message_0150"
"msg_093","digest","unknown","Message is useful but not urgent enough to interrupt the user now.","0.78","none"
"msg_034","mute","forward","High-forward chain message with blessing or luck keywords has no personal relevance to the user.","0.88","none"
"msg_035","digest","business_update","The message is from a verified business with a matching domain and is related to the user's known interests, but it is not urgent or time-sensitive.","0.84","message_0126;message_0125;message_0281"
"msg_101","digest","personal","Message is useful but not urgent enough to interrupt the user now.","0.8","message_0370;message_0229;message_0268"
"msg_041","mute","scam","The message is from a verified business but has a domain mismatch, which is a known scam pattern.","0.85","message_0138;message_0137"
"msg_011","mute","forward","High-forward chain message with blessing or luck keywords has no personal relevance to the user.","0.88","none"
"msg_110","mute","scam","Message contains instructions attempting to override the routing system, consistent with a prompt injection attack.","0.91","none"
"msg_095","digest","unknown","Message is useful but not urgent enough to interrupt the user now.","0.78","message_0087;message_0184;message_0088"
"msg_074","mute","forward","High-forward chain message with blessing or luck keywords has no personal relevance to the user.","0.88","none"
"msg_073","mute","forward","Message shows risk or repetition signals that do not warrant interrupting the user.","0.85","none"
"msg_054","mute","scam","The message asks for urgent payment or account verification through a suspicious flow, consistent with the sender's past scam patterns.","0.89","message_0389;message_0164;message_0204"
"msg_068","digest","event","The message is about planning an event but contains no urgency and can be checked later.","0.8","message_0192;message_0191"
"msg_100","notify","urgent","The message is from a known sender with a history of engagement and contains a direct deadline for a work-related task.","0.89","message_0055;message_0249;message_0228"
"msg_062","notify","urgent","A trusted group admin sent a time-sensitive update about a fire alarm test that should interrupt the user.","0.89","message_0271;message_0410;message_0130"
"msg_096","notify","personal","The message is a personal notification about a found passport that requires the user's immediate attention before a specific deadline.","0.89","none"
"msg_043","notify","urgent","A trusted group admin sent a time-sensitive update with a same-day deadline that should interrupt the user.","0.89","message_0271;message_0410;message_0130"
"msg_077","notify","urgent","A trusted group admin sent a time-sensitive update with a same-day deadline that should interrupt the user.","0.89","message_0255;message_0037;message_0134"
"msg_081","notify","urgent","A trusted group admin sent a time-sensitive update that should interrupt the user.","0.89","message_0217"
"msg_025","notify","business_update","A trusted sender sent a time-sensitive message that warrants immediate attention.","0.9","message_0106;message_0105;message_0239"
"msg_084","mute","promotion","User has opted out of promotional messages from this business.","0.86","none"
"msg_022","mute","scam","The message asks for urgent payment through a link and requests a screenshot, consistent with a scam pattern.","0.85","message_0152;message_0151;message_0237"
