"message_id","action","message_type","reason","confidence","evidence_message_ids"
"msg_023","notify","business_update","A trusted sender sent a time-sensitive message that warrants immediate attention.","0.9","message_0243;message_0102;message_0101"
"msg_091","mute","scam","The message asks for urgent OTP or account verification through a suspicious flow and the sender has a history of reported and muted messages.","0.89","message_0381;message_0238"
"msg_090","digest","personal","Message is useful but not urgent enough to interrupt the user now.","0.8","none"
"msg_048","mute","scam","The message asks for immediate payment through a QR code, consistent with a scam pattern, especially given the sender's history of reported message...","0.89","message_0152;message_0151;message_0237"
"msg_040","mute","forward","High-forward chain message with blessing or luck keywords has no personal relevance to the user.","0.88","none"
"msg_075","notify","business_update","A trusted sender sent a time-sensitive message that warrants immediate attention.","0.9","message_0206;message_0205"
"msg_005","notify","personal","The message is from a known sender with a history of engagement and contains a time-sensitive request that requires action by the user.","0.88","message_0390;message_0332;message_0231"
"msg_104","notify","personal","The message is from a known sender with a specific request and deadline that requires the user's attention.","0.85","message_0115;message_0232;message_0050"
"msg_069","mute","forward","High-forward chain message with blessing or luck keywords has no personal relevance to the user.","0.88","none"
"msg_107","mute","scam","Message contains instructions attempting to override the routing system, consistent with a prompt injection attack.","0.91","none"
"msg_070","mute","scam","The message asks for urgent OTP or account verification through a suspicious flow.","0.89","message_0173;message_0174;message_0214"
"msg_003","notify","business_update","A trusted sender sent a time-sensitive message that warrants immediate attention.","0.91","message_0031;message_0267;message_0400"
"msg_099","notify","personal","The sender is known and the message contains a specific deadline for the user to read the notes before the 11 AM standup.","0.88","message_0055;message_0249;message_0228"
"msg_008","digest","business_update","The message is a review request from a verified business the user has recently interacted with, but it is not urgent and can be read later.","0.8","message_0072;message_0071;message_0296"
"msg_092","digest","business_update","Message is useful but not urgent enough to interrupt the user now.","0.8","none"
"msg_060","notify","urgent","A trusted group admin sent a time-sensitive update with a same-day deadline that should interrupt the user.","0.89","message_0176;message_0404;message_0284"
"msg_004","notify","business_update","A trusted sender sent a time-sensitive message that warrants immediate attention.","0.9","message_0245;message_0064;message_0063"
"msg_030","mute","unknown","Message shows risk or repetition signals that do not warrant interrupting the user.","0.83","none"
"msg_045","notify","urgent","The message is from a group member and contains a direct, time-sensitive request that affects the user's immediate action.","0.89","message_0146;message_0145"
"msg_052","mute","scam","Unverified business with domain mismatch and high user report count indicates likely scam sender.","0.89","none"
"msg_009","mute","unknown","Message shows risk or repetition signals that do not warrant interrupting the user.","0.83","none"
"msg_071","digest","personal","Message is useful but not urgent enough to interrupt the user now.","0.8","message_0197;message_0198"
"msg_016","mute","scam","The message asks for urgent account verification through a suspicious flow, consistent with the sender's history of reported scam messages.","0.89","message_0087;message_0184;message_0088"
"msg_065","digest","promotion","The message is a promotional update from a verified business the user has engaged with before, but it is not urgent and can be read later.","0.84","message_0186;message_0185;message_0261"
"msg_038","mute","forward","High-forward chain message with blessing or luck keywords has no personal relevance to the user.","0.88","none"
"msg_086","notify","business_update","A trusted sender sent a time-sensitive message that warrants immediate attention.","0.9","message_0222"
"msg_014","mute","promotion","User has opted out of promotional messages from this business.","0.86","none"
"msg_094","digest","promotion","Message is useful but not urgent enough to interrupt the user now.","0.8","none"
"msg_029","mute","forward","Message shows risk or repetition signals that do not warrant interrupting the user.","0.85","none"
